audio_file|text
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/7367/86737/7367_86737_000121_000007.wav|Teresa was sixteen, and Vampa seventeen.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/5463/39174/5463_39174_000076_000001.wav|"""Of all my own acquaintance, Mrs. Crawley, I think, comes nearest to heroism."""
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/201/122255/201_122255_000046_000004.wav|"His name is Little John, and mine Robin Hood."""
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/7148/82991/7148_82991_000031_000001.wav|"""Why, Mark, you are clean crazed!"""
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/254/27760/254_27760_000008_000000.wav|"""Won't we take some snuff?"" he asks, holding out his snuff-box to the women."
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/2518/154825/2518_154825_000021_000000.wav|Then he told me to stop, for that the way grew wider and he would pick me up again.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/5789/57158/5789_57158_000034_000002.wav|"I can explain it all to her and she will understand me."" She hardly meant to reproach him."
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/4406/16883/4406_16883_000016_000023.wav|So like were these barbarous creatures to him who was a liar from the beginning.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/32/21634/32_21634_000005_000004.wav|But no one seemed to care about that.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/4859/26870/4859_26870_000013_000000.wav|"""Today--it was the same affair."
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/1743/142912/1743_142912_000012_000001.wav|"""There wouldn't be any honey if I did."
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/446/123501/446_123501_000002_000001.wav|I knew that I was on Mars; not once did I question either my sanity or my wakefulness.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/831/130746/831_130746_000005_000004.wav|Down the passage to the bedroom.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/909/131044/909_131044_000012_000007.wav|In either case, feebleness and irresolution must be the characteristics of the station.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/4853/29413/4853_29413_000038_000003.wav|He turned pale when he felt the floor shaken by your fall.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/26/495/26_495_000007_000002.wav|But it seems that the Government had a true account of it, and several councils were held about ways to prevent its coming over; but all was kept very private.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/6209/34600/6209_34600_000014_000000.wav|What a man feels a child feels still more.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/302/123523/302_123523_000013_000000.wav|Thrusting Sab Than headlong from the platform, I drew Dejah Thoris to my side.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/669/129074/669_129074_000070_000000.wav|The Colonel's brow darkened at this.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/5867/48852/5867_48852_000049_000001.wav|"Besides, I should have to come back by myself."""
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/7278/91083/7278_91083_000025_000004.wav|He gives free excursions to poor children, a dinner annually to the newsboys, and aids hundreds who are in need of an education.
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/211/122442/211_122442_000101_000000.wav|"""Above all things be always on your guard."
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/229/130880/229_130880_000039_000000.wav|"""Oh!"" I said ""You know about--"""
/hpc_stor03/sjtu_home/chaolei.liu/data/tts/LibriTTS/train-clean-100/5561/41616/5561_41616_000045_000001.wav|Reddy circled about the victors almost too delighted for words.
