1272-128104-0000	MISTER QUILTER IS THE APOSTLE OF THE MIDDLE CLASSES AND WE ARE GLAD TO WELCOME HIS GOSPEL
1272-128104-0001	NOR IS MISTER QUILTER'S MANNER LESS INTERESTING THAN HIS MATTER
1272-128104-0002	HE TELLS US THAT AT THIS FESTIVE SEASON OF THE YEAR WITH CHRISTMAS AND ROAST BEEF LOOMING BEFORE US SIMILES DRAWN FROM EATING AND ITS RESULTS OCCUR MOST READILY TO THE MIND
1272-128104-0003	HE HAS GRAVE DOUBTS WHETHER SIR FREDERICK LEIGHTON'S WORK IS REALLY GREEK AFTER ALL AND CAN DISCOVER IN IT BUT LITTLE OF ROCKY ITHACA
1272-128104-0004	LINNELL'S PICTURES ARE A SORT OF UP GUARDS AND AT EM PAINTINGS AND MASON'S EXQUISITE IDYLLS ARE AS NATIONAL AS A JINGO POEM MISTER BIRKET FOSTER'S LANDSCAPES SMILE AT ONE MUCH IN THE SAME WAY THAT MISTER CARKER USED TO FLASH HIS TEETH AND MISTER JOHN COLLIER GIVES HIS SITTER A CHEERFUL SLAP ON THE BACK BEFORE HE SAYS LIKE A SHAMPOOER IN A TURKISH BATH NEXT MAN
1272-128104-0005	IT IS OBVIOUSLY UNNECESSARY FOR US TO POINT OUT HOW LUMINOUS THESE CRITICISMS ARE HOW DELICATE IN EXPRESSION
1272-128104-0006	ON THE GENERAL PRINCIPLES OF ART MISTER QUILTER WRITES WITH EQUAL LUCIDITY
1272-128104-0007	PAINTING HE TELLS US IS OF A DIFFERENT QUALITY TO MATHEMATICS AND FINISH IN ART IS ADDING MORE FACT
1272-128104-0008	AS FOR ETCHINGS THEY ARE OF TWO KINDS BRITISH AND FOREIGN
1272-128104-0009	HE LAMENTS MOST BITTERLY THE DIVORCE THAT HAS BEEN MADE BETWEEN DECORATIVE ART AND WHAT WE USUALLY CALL PICTURES MAKES THE CUSTOMARY APPEAL TO THE LAST JUDGMENT AND REMINDS US THAT IN THE GREAT DAYS OF ART MICHAEL ANGELO WAS THE FURNISHING UPHOLSTERER
1272-128104-0010	NEAR THE FIRE AND THE ORNAMENTS FRED BROUGHT HOME FROM INDIA ON THE MANTEL BOARD
1272-128104-0011	IN FACT HE IS QUITE SEVERE ON MISTER RUSKIN FOR NOT RECOGNISING THAT A PICTURE SHOULD DENOTE THE FRAILTY OF MAN AND REMARKS WITH PLEASING COURTESY AND FELICITOUS GRACE THAT MANY PHASES OF FEELING
1272-128104-0012	ONLY UNFORTUNATELY HIS OWN WORK NEVER DOES GET GOOD
1272-128104-0013	MISTER QUILTER HAS MISSED HIS CHANCE FOR HE HAS FAILED EVEN TO MAKE HIMSELF THE TUPPER OF PAINTING
1272-128104-0014	BY HARRY QUILTER M A
1272-135031-0000	BECAUSE YOU WERE SLEEPING INSTEAD OF CONQUERING THE LOVELY ROSE PRINCESS HAS BECOME A FIDDLE WITHOUT A BOW WHILE POOR SHAGGY SITS THERE A COOING DOVE
1272-135031-0001	HE HAS GONE AND GONE FOR GOOD ANSWERED POLYCHROME WHO HAD MANAGED TO SQUEEZE INTO THE ROOM BESIDE THE DRAGON AND HAD WITNESSED THE OCCURRENCES WITH MUCH INTEREST
1272-135031-0002	I HAVE REMAINED A PRISONER ONLY BECAUSE I WISHED TO BE ONE AND WITH THIS HE STEPPED FORWARD AND BURST THE STOUT CHAINS AS EASILY AS IF THEY HAD BEEN THREADS
1272-135031-0003	THE LITTLE GIRL HAD BEEN ASLEEP BUT SHE HEARD THE RAPS AND OPENED THE DOOR
1272-135031-0004	THE KING HAS FLED IN DISGRACE AND YOUR FRIENDS ARE ASKING FOR YOU
1272-135031-0005	I BEGGED RUGGEDO LONG AGO TO SEND HIM AWAY BUT HE WOULD NOT DO SO
1272-135031-0006	I ALSO OFFERED TO HELP YOUR BROTHER TO ESCAPE BUT HE WOULD NOT GO
1272-135031-0007	HE EATS AND SLEEPS VERY STEADILY REPLIED THE NEW KING
1272-135031-0008	I HOPE HE DOESN'T WORK TOO HARD SAID SHAGGY
1272-135031-0009	HE DOESN'T WORK AT ALL
1272-135031-0010	IN FACT THERE IS NOTHING HE CAN DO IN THESE DOMINIONS AS WELL AS OUR NOMES WHOSE NUMBERS ARE SO GREAT THAT IT WORRIES US TO KEEP THEM ALL BUSY
1272-135031-0011	NOT EXACTLY RETURNED KALIKO
1272-135031-0012	WHERE IS MY BROTHER NOW
1272-135031-0013	INQUIRED SHAGGY IN THE METAL FOREST
1272-135031-0014	WHERE IS THAT
1272-135031-0015	THE METAL FOREST IS IN THE GREAT DOMED CAVERN THE LARGEST IN ALL OUR DOMINIONS REPLIED KALIKO
1272-135031-0016	KALIKO HESITATED
1272-135031-0017	HOWEVER IF WE LOOK SHARP WE MAY BE ABLE TO DISCOVER ONE OF THESE SECRET WAYS
1272-135031-0018	OH NO I'M QUITE SURE HE DIDN'T
1272-135031-0019	THAT'S FUNNY REMARKED BETSY THOUGHTFULLY
1272-135031-0020	I DON'T BELIEVE ANN KNEW ANY MAGIC OR SHE'D HAVE WORKED IT BEFORE
1272-135031-0021	I DO NOT KNOW CONFESSED SHAGGY
1272-135031-0022	TRUE AGREED KALIKO
1272-135031-0023	KALIKO WENT TO THE BIG GONG AND POUNDED ON IT JUST AS RUGGEDO USED TO DO BUT NO ONE ANSWERED THE SUMMONS
1272-135031-0024	HAVING RETURNED TO THE ROYAL CAVERN KALIKO FIRST POUNDED THE GONG AND THEN SAT IN THE THRONE WEARING RUGGEDO'S DISCARDED RUBY CROWN AND HOLDING IN HIS HAND THE SCEPTRE WHICH RUGGEDO HAD SO OFTEN THROWN AT HIS HEAD
1272-141231-0000	A MAN SAID TO THE UNIVERSE SIR I EXIST
1272-141231-0001	SWEAT COVERED BRION'S BODY TRICKLING INTO THE TIGHT LOINCLOTH THAT WAS THE ONLY GARMENT HE WORE
1272-141231-0002	THE CUT ON HIS CHEST STILL DRIPPING BLOOD THE ACHE OF HIS OVERSTRAINED EYES EVEN THE SOARING ARENA AROUND HIM WITH THE THOUSANDS OF SPECTATORS WERE TRIVIALITIES NOT WORTH THINKING ABOUT
1272-141231-0003	HIS INSTANT OF PANIC WAS FOLLOWED BY A SMALL SHARP BLOW HIGH ON HIS CHEST
1272-141231-0004	ONE MINUTE A VOICE SAID AND THE TIME BUZZER SOUNDED
1272-141231-0005	A MINUTE IS NOT A VERY LARGE MEASURE OF TIME AND HIS BODY NEEDED EVERY FRACTION OF IT
1272-141231-0006	THE BUZZER'S WHIRR TRIGGERED HIS MUSCLES INTO COMPLETE RELAXATION
1272-141231-0007	ONLY HIS HEART AND LUNGS WORKED ON AT A STRONG MEASURED RATE
1272-141231-0008	HE WAS IN REVERIE SLIDING ALONG THE BORDERS OF CONSCIOUSNESS
1272-141231-0009	THE CONTESTANTS IN THE TWENTIES NEEDED UNDISTURBED REST THEREFORE NIGHTS IN THE DORMITORIES WERE AS QUIET AS DEATH
1272-141231-0010	PARTICULARLY SO ON THIS LAST NIGHT WHEN ONLY TWO OF THE LITTLE CUBICLES WERE OCCUPIED THE THOUSANDS OF OTHERS STANDING WITH DARK EMPTY DOORS
1272-141231-0011	THE OTHER VOICE SNAPPED WITH A HARSH URGENCY CLEARLY USED TO COMMAND
1272-141231-0012	I'M HERE BECAUSE THE MATTER IS OF UTMOST IMPORTANCE AND BRANDD IS THE ONE I MUST SEE NOW STAND ASIDE
1272-141231-0013	THE TWENTIES
1272-141231-0014	HE MUST HAVE DRAWN HIS GUN BECAUSE THE INTRUDER SAID QUICKLY PUT THAT AWAY YOU'RE BEING A FOOL OUT
1272-141231-0015	THERE WAS SILENCE THEN AND STILL WONDERING BRION WAS ONCE MORE ASLEEP
1272-141231-0016	TEN SECONDS
1272-141231-0017	HE ASKED THE HANDLER WHO WAS KNEADING HIS ACHING MUSCLES
1272-141231-0018	A RED HAIRED MOUNTAIN OF A MAN WITH AN APPARENTLY INEXHAUSTIBLE STORE OF ENERGY
1272-141231-0019	THERE COULD BE LITTLE ART IN THIS LAST AND FINAL ROUND OF FENCING
1272-141231-0020	JUST THRUST AND PARRY AND VICTORY TO THE STRONGER
1272-141231-0021	EVERY MAN WHO ENTERED THE TWENTIES HAD HIS OWN TRAINING TRICKS
1272-141231-0022	THERE APPEARED TO BE AN IMMEDIATE ASSOCIATION WITH THE DEATH TRAUMA AS IF THE TWO WERE INEXTRICABLY LINKED INTO ONE
1272-141231-0023	THE STRENGTH THAT ENABLES SOMEONE IN A TRANCE TO HOLD HIS BODY STIFF AND UNSUPPORTED EXCEPT AT TWO POINTS THE HEAD AND HEELS
1272-141231-0024	THIS IS PHYSICALLY IMPOSSIBLE WHEN CONSCIOUS
1272-141231-0025	OTHERS HAD DIED BEFORE DURING THE TWENTIES AND DEATH DURING THE LAST ROUND WAS IN SOME WAYS EASIER THAN DEFEAT
1272-141231-0026	BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS
1272-141231-0027	WHEN THE BUZZER SOUNDED HE PULLED HIS FOIL FROM HIS SECOND'S STARTLED GRASP AND RAN FORWARD
1272-141231-0028	IROLG LOOKED AMAZED AT THE SUDDEN FURY OF THE ATTACK THEN SMILED
1272-141231-0029	HE THOUGHT IT WAS A LAST BURST OF ENERGY HE KNEW HOW CLOSE THEY BOTH WERE TO EXHAUSTION
1272-141231-0030	BRION SAW SOMETHING CLOSE TO PANIC ON HIS OPPONENT'S FACE WHEN THE MAN FINALLY RECOGNIZED HIS ERROR
1272-141231-0031	A WAVE OF DESPAIR ROLLED OUT FROM IROLG BRION SENSED IT AND KNEW THE FIFTH POINT WAS HIS
1272-141231-0032	THEN THE POWERFUL TWIST THAT THRUST IT ASIDE IN AND UNDER THE GUARD
1462-170138-0000	HE HAD WRITTEN A NUMBER OF BOOKS HIMSELF AMONG THEM A HISTORY OF DANCING A HISTORY OF COSTUME A KEY TO SHAKESPEARE'S SONNETS A STUDY OF THE POETRY OF ERNEST DOWSON ET CETERA
1462-170138-0001	HUGH'S WRITTEN A DELIGHTFUL PART FOR HER AND SHE'S QUITE INEXPRESSIBLE
1462-170138-0002	I HAPPEN TO HAVE MAC CONNELL'S BOX FOR TONIGHT OR THERE'D BE NO CHANCE OF OUR GETTING PLACES
1462-170138-0003	ALEXANDER EXCLAIMED MILDLY
1462-170138-0004	MYSELF I ALWAYS KNEW SHE HAD IT IN HER
1462-170138-0005	DO YOU KNOW ALEXANDER MAINHALL LOOKED WITH PERPLEXITY UP INTO THE TOP OF THE HANSOM AND RUBBED HIS PINK CHEEK WITH HIS GLOVED FINGER DO YOU KNOW I SOMETIMES THINK OF TAKING TO CRITICISM SERIOUSLY MYSELF
1462-170138-0006	WHEN THEY ENTERED THE STAGE BOX ON THE LEFT THE FIRST ACT WAS WELL UNDER WAY THE SCENE BEING THE INTERIOR OF A CABIN IN THE SOUTH OF IRELAND
1462-170138-0007	AS THEY SAT DOWN A BURST OF APPLAUSE DREW ALEXANDER'S ATTENTION TO THE STAGE
1462-170138-0008	OF COURSE HILDA IS IRISH THE BURGOYNES HAVE BEEN STAGE PEOPLE FOR GENERATIONS AND SHE HAS THE IRISH VOICE
1462-170138-0009	IT'S DELIGHTFUL TO HEAR IT IN A LONDON THEATRE
1462-170138-0010	WHEN SHE BEGAN TO DANCE BY WAY OF SHOWING THE GOSSOONS WHAT SHE HAD SEEN IN THE FAIRY RINGS AT NIGHT THE HOUSE BROKE INTO A PROLONGED UPROAR
1462-170138-0011	AFTER HER DANCE SHE WITHDREW FROM THE DIALOGUE AND RETREATED TO THE DITCH WALL BACK OF PHILLY'S BURROW WHERE SHE SAT SINGING THE RISING OF THE MOON AND MAKING A WREATH OF PRIMROSES FOR HER DONKEY
1462-170138-0012	MAC CONNELL LET ME INTRODUCE MISTER BARTLEY ALEXANDER
1462-170138-0013	THE PLAYWRIGHT GAVE MAINHALL A CURIOUS LOOK OUT OF HIS DEEP SET FADED EYES AND MADE A WRY FACE
1462-170138-0014	HE NODDED CURTLY AND MADE FOR THE DOOR DODGING ACQUAINTANCES AS HE WENT
1462-170138-0015	I DARE SAY IT'S QUITE TRUE THAT THERE'S NEVER BEEN ANY ONE ELSE
1462-170138-0016	HE'S ANOTHER WHO'S AWFULLY KEEN ABOUT HER LET ME INTRODUCE YOU
1462-170138-0017	SIR HARRY TOWNE BOWED AND SAID THAT HE HAD MET MISTER ALEXANDER AND HIS WIFE IN TOKYO
1462-170138-0018	I SAY SIR HARRY THE LITTLE GIRL'S GOING FAMOUSLY TO NIGHT ISN'T SHE
1462-170138-0019	THE FACT IS SHE'S FEELING RATHER SEEDY POOR CHILD
1462-170138-0020	A LITTLE ATTACK OF NERVES POSSIBLY
1462-170138-0021	HE BOWED AS THE WARNING BELL RANG AND MAINHALL WHISPERED YOU KNOW LORD WESTMERE OF COURSE THE STOOPED MAN WITH THE LONG GRAY MUSTACHE TALKING TO LADY DOWLE
1462-170138-0022	IN A MOMENT PEGGY WAS ON THE STAGE AGAIN AND ALEXANDER APPLAUDED VIGOROUSLY WITH THE REST
1462-170138-0023	IN THE HALF LIGHT HE LOOKED ABOUT AT THE STALLS AND BOXES AND SMILED A LITTLE CONSCIOUSLY RECALLING WITH AMUSEMENT SIR HARRY'S JUDICIAL FROWN
1462-170138-0024	HE LEANED FORWARD AND BEAMED FELICITATIONS AS WARMLY AS MAINHALL HIMSELF WHEN AT THE END OF THE PLAY SHE CAME AGAIN AND AGAIN BEFORE THE CURTAIN PANTING A LITTLE AND FLUSHED HER EYES DANCING AND HER EAGER NERVOUS LITTLE MOUTH TREMULOUS WITH EXCITEMENT
1462-170138-0025	ALL THE SAME HE LIFTED HIS GLASS HERE'S TO YOU LITTLE HILDA
1462-170138-0026	I'M GLAD SHE'S HELD HER OWN SINCE
1462-170138-0027	IT WAS YOUTH AND POVERTY AND PROXIMITY AND EVERYTHING WAS YOUNG AND KINDLY
1462-170142-0000	THE LAST TWO DAYS OF THE VOYAGE BARTLEY FOUND ALMOST INTOLERABLE
1462-170142-0001	EMERGING AT EUSTON AT HALF PAST THREE O'CLOCK IN THE AFTERNOON ALEXANDER HAD HIS LUGGAGE SENT TO THE SAVOY AND DROVE AT ONCE TO BEDFORD SQUARE
1462-170142-0002	SHE BLUSHED AND SMILED AND FUMBLED HIS CARD IN HER CONFUSION BEFORE SHE RAN UPSTAIRS
1462-170142-0003	THE ROOM WAS EMPTY WHEN HE ENTERED
1462-170142-0004	A COAL FIRE WAS CRACKLING IN THE GRATE AND THE LAMPS WERE LIT FOR IT WAS ALREADY BEGINNING TO GROW DARK OUTSIDE
1462-170142-0005	SHE CALLED HIS NAME ON THE THRESHOLD BUT IN HER SWIFT FLIGHT ACROSS THE ROOM SHE FELT A CHANGE IN HIM AND CAUGHT HERSELF UP SO DEFTLY THAT HE COULD NOT TELL JUST WHEN SHE DID IT
1462-170142-0006	SHE MERELY BRUSHED HIS CHEEK WITH HER LIPS AND PUT A HAND LIGHTLY AND JOYOUSLY ON EITHER SHOULDER
1462-170142-0007	I NEVER DREAMED IT WOULD BE YOU BARTLEY
1462-170142-0008	WHEN DID YOU COME BARTLEY AND HOW DID IT HAPPEN YOU HAVEN'T SPOKEN A WORD
1462-170142-0009	SHE LOOKED AT HIS HEAVY SHOULDERS AND BIG DETERMINED HEAD THRUST FORWARD LIKE A CATAPULT IN LEASH
1462-170142-0010	I'LL DO ANYTHING YOU WISH ME TO BARTLEY SHE SAID TREMULOUSLY
1462-170142-0011	HE PULLED UP A WINDOW AS IF THE AIR WERE HEAVY
1462-170142-0012	HILDA WATCHED HIM FROM HER CORNER TREMBLING AND SCARCELY BREATHING DARK SHADOWS GROWING ABOUT HER EYES
1462-170142-0013	IT IT HASN'T ALWAYS MADE YOU MISERABLE HAS IT
1462-170142-0014	ALWAYS BUT IT'S WORSE NOW
1462-170142-0015	IT'S UNBEARABLE IT TORTURES ME EVERY MINUTE
1462-170142-0016	I AM NOT A MAN WHO CAN LIVE TWO LIVES HE WENT ON FEVERISHLY EACH LIFE SPOILS THE OTHER
1462-170142-0017	I GET NOTHING BUT MISERY OUT OF EITHER
1462-170142-0018	THERE IS THIS DECEPTION BETWEEN ME AND EVERYTHING
1462-170142-0019	AT THAT WORD DECEPTION SPOKEN WITH SUCH SELF CONTEMPT THE COLOR FLASHED BACK INTO HILDA'S FACE AS SUDDENLY AS IF SHE HAD BEEN STRUCK BY A WHIPLASH
1462-170142-0020	SHE BIT HER LIP AND LOOKED DOWN AT HER HANDS WHICH WERE CLASPED TIGHTLY IN FRONT OF HER
1462-170142-0021	COULD YOU COULD YOU SIT DOWN AND TALK ABOUT IT QUIETLY BARTLEY AS IF I WERE A FRIEND AND NOT SOME ONE WHO HAD TO BE DEFIED
1462-170142-0022	HE DROPPED BACK HEAVILY INTO HIS CHAIR BY THE FIRE
1462-170142-0023	I HAVE THOUGHT ABOUT IT UNTIL I AM WORN OUT
1462-170142-0024	AFTER THE VERY FIRST
1462-170142-0025	HILDA'S FACE QUIVERED BUT SHE WHISPERED YES I THINK IT MUST HAVE BEEN
1462-170142-0026	SHE PRESSED HIS HAND GENTLY IN GRATITUDE WEREN'T YOU HAPPY THEN AT ALL
1462-170142-0027	SOMETHING OF THEIR TROUBLING SWEETNESS CAME BACK TO ALEXANDER TOO
1462-170142-0028	PRESENTLY IT STOLE BACK TO HIS COAT SLEEVE
1462-170142-0029	YES HILDA I KNOW THAT HE SAID SIMPLY
1462-170142-0030	I UNDERSTAND BARTLEY I WAS WRONG
1462-170142-0031	SHE LISTENED INTENTLY BUT SHE HEARD NOTHING BUT THE CREAKING OF HIS CHAIR
1462-170142-0032	YOU WANT ME TO SAY IT SHE WHISPERED
1462-170142-0033	BARTLEY LEANED HIS HEAD IN HIS HANDS AND SPOKE THROUGH HIS TEETH
1462-170142-0034	IT'S GOT TO BE A CLEAN BREAK HILDA
1462-170142-0035	OH BARTLEY WHAT AM I TO DO
1462-170142-0036	YOU ASK ME TO STAY AWAY FROM YOU BECAUSE YOU WANT ME
1462-170142-0037	I WILL ASK THE LEAST IMAGINABLE BUT I MUST HAVE SOMETHING
1462-170142-0038	HILDA SAT ON THE ARM OF IT AND PUT HER HANDS LIGHTLY ON HIS SHOULDERS
1462-170142-0039	YOU SEE LOVING SOME ONE AS I LOVE YOU MAKES THE WHOLE WORLD DIFFERENT
1462-170142-0040	AND THEN YOU CAME BACK NOT CARING VERY MUCH BUT IT MADE NO DIFFERENCE
1462-170142-0041	SHE SLID TO THE FLOOR BESIDE HIM AS IF SHE WERE TOO TIRED TO SIT UP ANY LONGER
1462-170142-0042	DON'T CRY DON'T CRY HE WHISPERED
1462-170145-0000	ON THE LAST SATURDAY IN APRIL THE NEW YORK TIMES PUBLISHED AN ACCOUNT OF THE STRIKE COMPLICATIONS WHICH WERE DELAYING ALEXANDER'S NEW JERSEY BRIDGE AND STATED THAT THE ENGINEER HIMSELF WAS IN TOWN AND AT HIS OFFICE ON WEST TENTH STREET
